Course Number,Fee,
AGEC105,$50.00,
AGEC217,$100.00,
AGEC285,$27.00,
AGEC289,$27.00,
AGEC314,$31.00,
AGEC314,$99.00,
AGEC314,$99.00,
AGEC315,$100.00,
AGEC317,$70.00,
AGEC325,$37.00,
AGEC330,$31.00,
AGEC340,$100.00,
AGEC344,$31.00,
AGEC350,$31.00,
AGEC401,$100.00,
AGEC402,$100.00,
AGEC413,$37.00,
AGEC414,$100.00,
AGEC415,$100.00,
AGEC422,$100.00,
AGEC424,$100.00,
AGEC425,$100.00,
AGEC429,$100.00,
AGEC430,$100.00,
AGEC431,$100.00,
AGEC432,$100.00,
AGEC434,$100.00,
AGEC435,$100.00,
AGEC440,$100.00,
AGEC447,$37.00,
AGEC448,$100.00,
AGEC452,$37.00,
AGEC453,$50.00,
AGEC460,$100.00,
AGEC481,$50.00,
AGEC484,$100.00,
AGEC485,$100.00,
AGEC489,$57.00,
AGEC489,$40.00,
AGEC489,$40.00,
AGEC601,$100.00,
AGEC603,$100.00,
AGEC604,$100.00,
AGEC604,$40.00,
AGEC604,$40.00,
AGEC605,$100.00,
AGEC606,$100.00,
AGEC607,$100.00,
AGEC610,$100.00,
AGEC611,$100.00,
AGEC614,$100.00,
AGEC618,$75.00,
AGEC619,$100.00,
AGEC621,$100.00,
AGEC622,$100.00,
AGEC625,$100.00,
AGEC629,$100.00,
AGEC630,$100.00,
AGEC633,$100.00,
AGEC634,$100.00,
AGEC635,$100.00,
AGEC636,$100.00,
AGEC637,$100.00,
AGEC641,$100.00,
AGEC643,$100.00,
AGEC652,$100.00,
AGEC659,$100.00,
AGEC661,$100.00,
AGEC671,$100.00,
AGEC672,$100.00,
AGEC673,$100.00,
AGEC674,$75.00,
AGEC676,$100.00,
AGEC677,$100.00,
AGEC681,$100.00,
AGEC684,$100.00,
AGEC685,$100.00,
AGEC689,$100.00,
AGEC691,$100.00,
AGEC693,$100.00,
AGEC695,$100.00,
AGCJ105,$60.00,
AGCJ203,$60.00,
AGCJ281,$45.00,
AGCJ285,$30.00,
AGCJ289,$20.00,
AGCJ291,$20.00,
AGCJ303,$60.00,
AGCJ304,$60.00,
AGCJ305,$45.00,
AGCJ306,$45.00,
AGCJ307,$60.00,
AGCJ308,$45.00,
AGCJ308,$45.00,
AGCJ380,$45.00,
AGCJ380,$45.00,
AGCJ380,$45.00,
AGCJ404,$45.00,
AGCJ405,$60.00,
AGCJ406,$45.00,
AGCJ407,$45.00,
AGCJ409,$60.00,
AGCJ481,$45.00,
AGCJ485,$35.00,
AGCJ489,$30.00,
AGCJ489,$45.00,
AGCJ491,$20.00,
AGCJ494,$45.00,
AGSC285,$45.00,
AGSC289,$45.00,
AGSC291,$20.00,
AGSC301,$35.00,
AGSC325,$50.00,
AGSC327,$35.00,
AGSC380,$45.00,
AGSC383,$125.00,
AGSC384,$50.00,
AGSC402,$35.00,
AGSC405,$35.00,
AGSC425,$35.00,
AGSC436,$85.00,
AGSC481,$30.00,
AGSC484,$35.00,
AGSC485,$35.00,
AGSC489,$20.00,
AGSC491,$20.00,
AGSC494,$75.00,
ALEC285,$45.00,
ALEC289,$45.00,
ALEC291,$45.00,
ALEC380,$45.00,
ALEC450,$45.00,
ALEC485,$45.00,
ALEC489,$45.00,
ALEC491,$45.00,
ALEC494,$45.00,
ALEC601,$45.00,
ALEC602,$45.00,
ALEC603,$60.00,
ALEC604,$45.00,
ALEC605,$45.00,
ALEC606,$45.00,
ALEC606,$0.00,
ALEC607,$45.00,
ALEC607,$99.00,
ALEC607,$99.00,
ALEC608,$60.00,
ALEC609,$45.00,
ALEC610,$45.00,
ALEC610,$99.00,
ALEC610,$99.00,
ALEC611,$45.00,
ALEC611,$99.00,
ALEC611,$99.00,
ALEC612,$45.00,
ALEC612,$99.00,
ALEC612,$99.00,
ALEC613,$45.00,
ALEC613,$99.00,
ALEC613,$99.00,
ALEC615,$45.00,
ALEC616,$45.00,
ALEC617,$45.00,
ALEC620,$99.00,
ALEC620,$99.00,
ALEC621,$45.00,
ALEC621,$0.00,
ALEC622,$45.00,
ALEC622,$99.00,
ALEC622,$99.00,
ALEC623,$45.00,
ALEC623,$0.00,
ALEC624,$45.00,
ALEC624,$0.00,
ALEC625,$45.00,
ALEC625,$99.00,
ALEC625,$99.00,
ALEC630,$45.00,
ALEC631,$45.00,
ALEC640,$45.00,
ALEC640,$99.00,
ALEC640,$99.00,
ALEC641,$45.00,
ALEC644,$45.00,
ALEC645,$45.00,
ALEC646,$45.00,
ALEC652,$45.00,
ALEC681,$15.00,
ALEC681,$99.00,
ALEC681,$99.00,
ALEC684,$45.00,
ALEC685,$45.00,
ALEC689,$100.00,
ALEC689,$99.00,
ALEC689,$99.00,
ALEC690,$45.00,
ALEC691,$100.00,
ALEC692,$100.00,
ALEC693,$100.00,
ALEC695,$45.00,
ALEC695,$99.00,
ALEC695,$99.00,
ALEC696,$45.00,
ALEC696,$99.00,
ALEC696,$99.00,
ALED102,$30.00,
ALED125,$30.00,
ALED201,$60.00,
ALED222,$30.00,
ALED222,$34.00,
ALED223,$30.00,
ALED223,$30.00,
ALED225,$30.00,
ALED285,$30.00,
ALED289,$30.00,
ALED291,$20.00,
ALED301,$60.00,
ALED313,$30.00,
ALED340,$60.00,
ALED341,$45.00,
ALED342,$45.00,
ALED342,$99.00,
ALED342,$99.00,
ALED343,$45.00,
ALED344,$45.00,
ALED350,$45.00,
ALED380,$45.00,
ALED400,$75.00,
ALED401,$75.00,
ALED422,$45.00,
ALED424,$45.00,
ALED425,$45.00,
ALED426,$45.00,
ALED439,$30.00,
ALED440,$60.00,
ALED440,$99.00,
ALED440,$99.00,
ALED441,$45.00,
ALED442,$45.00,
ALED481,$30.00,
ALED485,$35.00,
ALED489,$45.00,
ALED491,$20.00,
ALED494,$45.00,
ANSC107,$10.00,
ANSC108,$10.00,
ANSC207,$15.00,
ANSC242,$30.00,
ANSC302,$5.00,
ANSC303,$5.00,
ANSC307,$100.00,
ANSC310,$30.00,
ANSC311,$200.00,
ANSC312,$200.00,
ANSC314,$50.00,
ANSC315,$80.00,
ANSC316,$35.00,
ANSC317,$20.00,
ANSC318,$15.00,
ANSC320,$5.00,
ANSC337,$40.00,
ANSC402,$50.00,
ANSC406,$30.00,
ANSC408,$5.00,
ANSC412,$80.00,
ANSC414,$120.00,
ANSC420,$200.00,
ANSC421,$200.00,
ANSC433,$15.00,
ANSC434,$50.00,
ANSC437,$5.00,
ANSC447,$100.00,
ANSC481,$5.00,
ANSC484,$50.00,
